PT	AN	DT	TI	FT	AU	BA	GP	ED	SO	VL	IS	SU	PS	PD	PY	UR	AW	NT	LA	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	BN	BD	DE	TN	ST	OR	DI	UT	PM	OA	HC	HP	DA
J	ZOOR15305028018		Forest loss increases insect herbivory levels in human-altered landscapes.		Dodonov, Pavel; Morante-Filho, Jose Carlos; Mariano-Neto, Eduardo; Cazetta, Eliana; de Andrade, Edyla Ribeiro; Rocha-Santos, Larissa; Inforzato, Igor; Gomes, Francisco Sanches; Faria, Deborah				Acta Oecologica	77			136-143	Nov 2016	2016							Insect herbivory has been observed to be affected by habitat loss and fragmentation, although the mechanisms by which these anthropogenic disturbances affect this process are not well understood. To aid in clarifying this issue, we assessed the relation between forest cover and leaf damage caused by herbivorous insects on a representative tropical forest understory plant family, the Rubiaceae. We measured leaf area loss of Rubiaceae plants in 20 forest sites located in the Brazilian Atlantic forest, and also tested whether variation in forest cover, abundance of insectivorous birds (predators) and of Rubiaceae plants (resources) could explain the observed variation in leaf damage. Herbivory levels varied between 2.6 and 12.5 percent leaf area lost and increased with decreasing forest cover, whereas the other explanatory variables did not provide additional explanatory power. Therefore, forest loss appears to be the main driver of changes in local herbivory, and ecological processes such as top-down and bottom-up control may not account for the deforestation-related increase in herbivory levels. Other mechanisms, for example leaf quality and/or the influence of the adjoining land uses, have to be explored in future studies. (C) 2016 Elsevier Masson SAS. All rights reserved.			Filho, Jose Carlos Morante/K-8214-2015; Faria, Deborah/F-2879-2010; Dodonov, Pavel/J-8328-2018; Cazetta, Eliana/K-1880-2019; Cazetta, Eliana/F-3296-2010; Mariano-Neto, Eduardo/F-3441-2010; Rocha-Santos, larissa/AAF-4812-2019	Filho, Jose Carlos Morante/0000-0002-1625-9872; Faria, Deborah/0000-0002-0375-2887; Dodonov, Pavel/0000-0001-8205-6320; Cazetta, Eliana/0000-0002-2209-2554; Cazetta, Eliana/0000-0002-2209-2554; Mariano-Neto, Eduardo/0000-0002-4204-0882; 				1146-609X; 1873-6238								ZOOREC:ZOOR15305028018					
J	ZOOR15305028329		Twenty-three years of bird monitoring reveal low extinction and colonization of species in a reserve surrounded by an extremely fragmented landscape in southern Brazil.		Willrich, Guilherme; Calsavara, Larissa Corsini; Lima, Marcos Robalinho; de Oliveira, Renan Campos; Bochio, Gabriela Menezes; Medina Rosa, Gabriel Lima; Muzi, Vanildo Cesar; dos Anjos, Luiz				Revista Brasileira de Ornitologia	24	3		235-259	Sep 2016	2016							Human activities have modified landscapes worldwide, promoting fragmentation and isolation of forest habitats. Such landscape modifications are responsible for changes in species composition due to extinction and colonization events. Forest species dynamism is usually affected by forest fragmentation when remaining fragments are small and isolated, but forest dynamism is usually more stable when forest fragments are large and connected. In this study we verified changes in bird composition during 23 years of bird monitoring at the Mata dos Godoy State Park (PEMG). We aimed to evaluate the avian community dynamism of this reserve, as well as its effectiveness in protecting biodiversity in an extremely fragmented landscape. We reviewed historical records of bird species composition and checked for any possible misidentifications, updated the list and created an annual data set of bird species occurrence. We used this list to evaluate species persistence, species loss, and colonization over the study period. Additionally, species were classified according to their guilds in order to determine which species traits were associated with local extinction. A total of 331 bird species were recorded in PEMG over 23 years of monitoring, 17 of which were considered locally extinct or possibly extinct, and 11 were recent local colonizations. This indicates that bird composition in PEMG has been relatively stable over the years. However, local extinction was more likely for large frugivores and insectivores, which are guilds already known to be more susceptible to local extinction. Colonizations, in turn, were associated with guilds of more open habitats, like edge insectivores. We suggest that extinctions and colonizations are also potentially related to species distribution ranges and climate change. Although local extinctions occurred, PEMG still maintains a significant fraction of its historical avifauna and may potentially maintain source populations for many bird species, thus making it an important reserve for the north of Parana.			Anjos, Luiz dos/F-9501-2012; Lima, Marcos/A-4931-2013; Lima, Marcos Robalinho/R-8966-2019	Anjos, Luiz dos/0000-0002-8680-2375; Lima, Marcos/0000-0002-5901-0911; Lima, Marcos Robalinho/0000-0002-5901-0911												ZOOREC:ZOOR15305028329					
J	ZOOR15301003141		THE EFFECTS OF LANDSCAPE STRUCTURE ON FUNCTIONAL GROUPS OF ATLANTIC FOREST BIRDS.		Pacheco Coelho, Marco Tulio; Raniero, Mariana; Silva, Marina Isidoro; Hasui, Erica				Wilson Journal of Ornithology	128	3		520-534	Sep 2016	2016							In the current scenario of human transformation of natural landscapes, fragmentation and habitat loss is considered one of the major threats to biodiversity. The characteristics of altered landscapes and remaining habitat patches influence the persistence of species and, as a direct consequence, the functioning of ecological processes. The main focus of studies at landscape scale is to understand how human modifications in natural areas lead to changes in abundance and richness of species. However, such approaches do not directly describe the functional composition of communities, nor do they describe the functional responses to fragmentation and habitat loss. Birds are an interesting taxonomic group to explore this theme, since they present important, broadly-described ecological functions for human modified habitats (e.g., seed dispersal, pollination, and insect pest control). Thus, we aimed to explore the functional responses of birds to landscape characteristics. We selected 14 human modified landscapes of Atlantic forest, found within a radius of 30 km of Alfenas, Brazil. Each landscape was characterized by metrics describing landscape configuration and composition, such as forest percentage and mean connectivity. Birds were sampled in the central patches of the landscapes and classified into 15 functional groups, based on species' traits. We constructed Generalized Linear Models (GLM) and used Akaike's information criterion (AIC) to identify the best models that explained the abundance and richness of species in each functional group. Few groups had high functional redundancy, showing the fragility of the majority of functional groups in the current modified landscapes. Forest dependent functional groups were favored by connected landscapes, higher percentage of forest cover, and high percentages of coffee matrix. On the other hand, forest independent groups were favored by irregular habitat areas and negatively impacted by forest cover and sugar cane matrices. Consistent management of altered landscapes, based on functional responses, can assist the recovery and maintenance of natural areas. We highlight the complexity involved in landscape management, considering it requires simultaneous work on composition and configuration.			Hasui, Erica/AAF-5580-2019; Coelho, Marco Tulio Pacheco/U-7747-2017	Hasui, Erica/0000-0002-9938-9284; Coelho, Marco Tulio Pacheco/0000-0002-7831-3053				1559-4491							10.1676/1559-4491-128.3.520	ZOOREC:ZOOR15301003141					
J	ZOOR15312083680		Avian species diversity in different habitat types in and around North Nandi Forest, Kenya.		Bett, Mark Cheruiyot; Muchai, Muchane; Waweru, Catherine				African Journal of Ecology	54	3		342-348	Sep 2016	2016							Forest fragmentation and degradation leads to formation of modified habitats whose ability to support existing avifaunal diversity is still largely unknown. Bird diversity in indigenous forest, disturbed forest, plantation forest and farmlands adjacent to North Nandi Forest reserve was studied between January 2015 and June 2015. The distribution of bird feeding guilds in these habitat patches was also evaluated. Birds were surveyed using point counts, timed species counts and line transects and classified into six feeding guilds. A total of 3,232 individual birds of 151 species were recorded in the four habitats. Significant difference on bird abundance across the four habitats (F = 15.141, P <= 0.05, df = 3, 1121) was noted. Shannon-Weiner diversity index H' for bird community ranged from 3.06 for plantation forest to 4.05 for disturbed forest showing a relatively diverse bird community. Insectivores (F = 3.090, P <= 0.05, df = 3, 297) dominated the foraging species assemblage in all the habitats significantly. Linear regression analysis revealed a strong linear relationship on bird species richness and abundance with vegetation variables (P < 0.01 in all cases). The results indicate that disturbed forest and indigenous forest support high bird species richness than plantation forest and farmlands. However, high bird abundance was observed in farmlands and plantation forest as opposed to indigenous forest and disturbed forest as they provide dispersal routes over a short distance and are important for creating corridors between primary forests.			Muchai, Muchane/B-4076-2008	Muchai, Muchane/0000-0002-2387-4486				0141-6707; 1365-2028								ZOOREC:ZOOR15312083680					
J	ZOOR15212078645		Forest edges have high conservation value for bird communities in mosaic landscapes.		Terraube, Julien; Archaux, Frederic; Deconchat, Marc; van Halder, Inge; Jactel, Herve; Barbaro, Luc				Ecology and Evolution	6	15		5178-5189	Aug 2016	2016							A major conservation challenge in mosaic landscapes is to understand how trait-specific responses to habitat edges affect bird communities, including potential cascading effects on bird functions providing ecosystem services to forests, such as pest control. Here, we examined how bird species richness, abundance and community composition varied from interior forest habitats and their edges into adjacent open habitats, within a multi-regional sampling scheme. We further analyzed variations in Conservation Value Index (CVI), Community Specialization Index (CSI) and functional traits across the forest-edge-open habitat gradient. Bird species richness, total abundance and CVI were significantly higher at forest edges while CSI peaked at interior open habitats, i.e., furthest from forest edge. In addition, there were important variations in trait-and species-specific responses to forest edges among bird communities. Positive responses to forest edges were found for several forest bird species with unfavorable conservation status. These species were in general insectivores, understorey gleaners, cavity nesters and long-distance migrants, all traits that displayed higher abundance at forest edges than in forest interiors or adjacent open habitats. Furthermore, consistently with predictions, negative edge effects were recorded in some forest specialist birds and in most open-habitat birds, showing increasing densities from edges to interior habitats. We thus suggest that increasing landscape-scale habitat complexity would be beneficial to declining species living in mosaic landscapes combining small woodlands and open habitats. Edge effects between forests and adjacent open habitats may also favor bird functional guilds providing valuable ecosystem services to forests in long-standing fragmented landscapes.			Archaux, Frederic/M-5242-2014	Archaux, Frederic/0000-0002-9996-0006; Terraube, Julien/0000-0002-7060-3988				2045-7758								ZOOREC:ZOOR15212078645	27551375				
J	ZOOR15209059454		Patterns of local extinction in an Amazonian archipelagic avifauna following 25 years of insularization.		Aurelio-Silva, Marco; Anciaes, Marina; Pinto Henriques, Luiza Magalli; Benchimol, Maira; Peres, Carlos A.				Biological Conservation	199			101-109	Jul 2016	2016							Mega-hydroelectric dams in lowland Amazonia create large archipelagos of upland forest, yet few studies have taken advantage of these fragmented landscapes to examine the effects of habitat insularization on vertebrate populations. We investigated the effects of insularization on bird species richness and composition at 27 variable-sized islands formed by the Balbina Hydroelectric Reservoir in the central Brazilian Amazon after 25 years of isolation, which were compared to three mainland sites in adjacent continuous forest. Islands were characterized by patch and landscape metrics, and the local avifauna was surveyed at all sites (including 172 sampling points) four times using point counts, and twice using playbacks. Island size was the strongest predictor of species richness and similarity, whereas other metrics showed weak or no effect. On the basis of 61 forest bird species distributed across six foraging guilds, terrestrial omnivores and insectivores, small understorey frugivores and large-bodied trunk frugivore/faunivore comprised the guilds most affected by habitat insularization. Our results demonstrate a striking decline in avifaunal species richness, particularly in islands smaller than 55 ha, which represent [approximately]90% of the [approximately]3500 islands in the Balbina reservoir. We conclude that other major hydropower reservoirs across the lowland Amazonian basin are likely to experience similarly high avian extinction rates and suggest that the environmental licencing of these impoundments should be reassessed or at least include protected area offsets. (C) 2016 Published by Elsevier Ltd.			Henriques, Luiza/W-2553-2019; Benchimol, Maira MB/I-7664-2014; Peres, Carlos/N-8275-2019; Peres, Carlos A./B-1276-2013	Henriques, Luiza/0000-0003-3653-3290; Benchimol, Maira MB/0000-0002-1238-1619; Peres, Carlos/0000-0002-1588-8765; Peres, Carlos A./0000-0002-1588-8765				0006-3207								ZOOREC:ZOOR15209059454					
J	ZOOR15209059691		Targeted reforestation could reverse declines in connectivity for understory birds in a tropical habitat corridor.		Fagan, Matthew E.; DeFries, Ruth S.; Sesnie, Steven E.; Arroyo-Mora, J. Pablo; Chazdon, Robin L.				Ecological Applications	26	5		1456-1474	Jul 2016	2016							Re-establishing connectivity between protected areas isolated by habitat clearing is a key conservation goal in the humid tropics. In northeastern Costa Rica, payments for environmental services (PES) and a government ban on deforestation have subsidized forest protection and reforestation in the San Juan-La Selva Biological Corridor (SJLSBC), resulting in a decline in mature forest loss and the expansion of tree plantations. We use field studies and graph models to assess how conservation efforts have altered functional connectivity over the last 25 years for four species of insectivorous understory birds. Field playback studies assessed how reforestation habitat quality affected the willingness of Myrmeciza exsul, Henicorhina leucosticta, Thamnophilus atrinucha, and Glyphorynchus spirurus to travel outside forest habitat for territorial defense. Observed travel distances were greatest in non-native and native tree plantations with high understory stem density, regardless of overstory composition. In contrast, tree plantations with low stem density had travel responses comparable to open pasture for three of the four bird species. We modeled landscape connectivity for each species using graph models based on varying possible travel distances in tree plantations, gallery forests, and pastures. From 1986 to 2011, connectivity for all species declined in the SJLSBC landscape (5825 km2) by 14% to 21% despite only a 4.9% net loss in forest area and the rapid expansion of tree plantations over 2% of the landscape. Plantation placement in the landscape limited their potential facilitation of connectivity because they were located either far from forest cover or within already contiguous forest areas. We mapped current connectivity bottlenecks and identified priority areas for future reforestation. We estimate that reforestation of priority areas could improve connectivity by 2% with only a 1% gain in forest cover, an impressive gain given the small area reforested. Results indicate key locations where spatial targeting of PES within the SJLSBC study region would protect existing forest connectivity and enhance the connectivity benefits of reforestation.								1051-0761								ZOOREC:ZOOR15209059691	27755750				
J	ZOOR15209058864		Generalist birds promote tropical forest regeneration and increase plant diversity via rare-biased seed dispersal.		Carlo, Tomas A.; Morales, Juan M.				Ecology (Washington D C)	97	7		1819-1831	Jul 2016	2016							Regenerated forests now compose over half of the world's tropical forest cover and are increasingly important as providers of ecosystem services, freshwater, and biodiversity conservation. Much of the value and functionality of regenerating forests-depends on the plant diversity they contain. Tropical forest diversity is strongly shaped by mutualistic interactions between plants and fruit-eating animals (frugivores) that disperse seeds. Here we show how seed dispersal by birds can influence the speed and diversity of early successional forests in Puerto Rico. For two years, we monitored the monthly fruit production of bird-dispersed plants on a fragmented landscape, and measured seed dispersal activity of birds and plant establishment in experimental plots located in deforested areas. Two predominantly omnivorous bird species, the Northern Mockingbird (Mimus polyglottos) and the Gray Kingbird (Tyrannus dominicensis), proved critical for speeding up the establishment of woody plants and increasing the species richness and diversity of the seed rain in deforested areas. Seed dispersal by these generalists increased the odds for rare plant species to disperse and establish in experimental forest-regeneration plots. Results indicate that birds that mix fruit and insects in their diets and actively forage across open and forested habitats can play keystone roles in the regeneration of mutualistic plant-animal communities. Furthermore, our analyses reveal that rare-biased (antiapostatic) frugivory and seed dispersal is the mechanism responsible for increasing plant diversity in the early-regenerating community.			Morales, Juan Manuel/B-6316-2009	Morales, Juan Manuel/0000-0001-7269-7490; Carlo, Tomas/0000-0002-2092-0053				0012-9658								ZOOREC:ZOOR15209058864	27859154				
J	ZOOR15312084566		Predation of Calomys expulsus (Rodentia: Cricetidae) by Glaucidium brasilianum (Strigiformes: Strigidae) in a semi-deciduous seasonal forest fragment.		Hannibal, Wellington; Parreira Claro, Hermes Willyan; Vilalba Figueiredo, Valquiria; Oliveira, Roniel Freitas				Boletim do Museu de Biologia Mello Leitao	38	3		181-185	Jul 2016	2016							Ferruginous pygmy-owl Glaucidium brasilianum (Gmelin, 1788) prey mainly insects, reptiles and birds. Here, we report apredation event of the vesper-mouse Calomys expulsus (Lund, 1841), after releasing into the environment, by the ferruginous pygmy-owl. The event was recorded on 23 September 2015 in a semi-deciduous seasonal forest fragment, in Quirinopolis Municipality, in the southern of Goias state, Brazil. Rodents comprise up less than one quarter in the diet of the G. brasilianum. This predation event showed the opportunistic behavior of ferruginous pygmy-owl in preying a small rodent.								0103-9121								ZOOREC:ZOOR15312084566					
J	ZOOR15210062741		Yellow-throated miners Manorina flavigula homogenize bird communities across intact and fragmented landscapes.		Kutt, Alex S.; Vanderduys, Eric P.; Perry, Justin J.; Mathieson, Michael T.; Eyre, Teresa J.				Austral Ecology	41	3		316-327	May 2016	2016							In Australia, the role of noisy miners Manorina melanocephala in biotic homogenization of the avifauna has been well established in modified landscapes, and is listed as a threatening process under national conservation legislation. However, less is known about the effect of the congeneric and more widely distributed yellow-throated miner, M.flavigula. In this paper we investigate the relative roles of habitat loss and increased dominance by the yellow-throated miner in avian homogenization and species functional group decline. We examined bird community data collected from 368 woodland sites across three bioregions. For each site there was a local and a landscape scale measure of remnant vegetation cover. We used both multivariate and regression analysis to test the relative influence of yellow-throated miner abundance and vegetation on bird community composition. There was clear compositional change and homogenization of the avifauna where yellow-throated miners were present and vegetation cover was low. The abundance of 40 bird species was predicted by combinations of vegetation cover or yellow-throated miner abundance, and 31 of these regressions included the term yellow-throated miner. Of these, there was a negative relationship with 23 species, and 19 of these were insectivores or nectarivores. We postulate that the combination of clearing and yellow-throated miner abundance can interact to disrupt the ecological function of woodlands, by the depletion of insect- and nectar-feeding species and the disturbance to mixed feeding flocks. We propose future research objectives that include a continental-scale analysis of the determinants of yellow-throated miner overabundance, the numerical and geographical thresholds of their potential impacts, and the ecological consequences on both avifauna and the woodlands they inhabit.			Perry, Justin/F-7740-2011	Perry, Justin/0000-0002-5823-7364				1442-9985								ZOOREC:ZOOR15210062741					
J	ZOOR15205033377		Merging trait-based and individual-based modelling: An animal functional type approach to explore the responses of birds to climatic and land use changes in semi-arid African savannas.		Scherer, Cedric; Jeltsch, Florian; Grimm, Volker; Blaum, Niels				Ecological Modelling	326			75-89	Apr 24 2016	2016							Climate change and land use management practices are major drivers of biodiversity in terrestrial ecosystems. To understand and predict resulting changes in community structures, individual-based and spatially explicit population models are a useful tool but require detailed data sets for each species. More generic approaches are thus needed. Here we present a trait-based functional type approach to model savanna birds. The aim of our model is to explore the response of different bird functional types to modifications in habitat structure. The functional types are characterized by different traits, in particular body mass, which is related to life-history traits (reproduction and mortality) and spatial scales (home range area and dispersal ability), as well as the use of vegetation structures for foraging and nesting, which is related to habitat quality and suitability. We tested the performance of the functional types in artificial landscapes varying in shrub: grass ratio and clumping intensity of shrub patches. We found that an increase in shrub encroachment and a decrease in habitat quality caused by land use mismanagement and climate change endangered all simulated bird functional types. The strength of this effect was related to the preferred habitat. Furthermore, larger-bodied insectivores and omnivores were more prone to extinction due to shrub encroachment compared to small-bodied species. Insectivorous and omnivorous birds were more sensitive to clumping intensity of shrubs whereas herbivorous and carnivorous birds were most affected by a decreasing amount of grass cover. From an applied point of view, our findings emphasize that policies such as woody plant removal and a reduction in livestock stocking rates to prevent shrub encroachment should prioritize the enlargement of existing grassland patches. Overall, our results show that the combination of an individual-based modelling approach with carefully defined functional types can provide a powerful tool for exploring biodiversity responses to environmental changes. Furthermore, the increasing accumulation of worldwide data sets on species' core and soft traits (surrogates to determine core traits indirectly) on one side and the refinement of conceptual frameworks for animal functional types on the other side will further improve functional type approaches which consider the sensitivities of multiple species to climate change, habitat loss, and fragmentation. (C) 2015 Elsevier B.V. All rights reserved.			Scherer, Cedric/H-3761-2019	Blaum, Niels/0000-0001-6807-5162; Scherer, Cedric/0000-0003-0465-2543; Jeltsch, Florian/0000-0002-4670-6469				0304-3800								ZOOREC:ZOOR15205033377					
J	ZOOR15208049190		Avian haemosporidian parasites in an urban forest and their relationship to bird size and abundance.		Santiago-Alarcon, Diego; MacGregor-Fors, Ian; Kuehnert, Katharina; Segelbacher, Gernot; Schaefer, H. Martin				Urban Ecosystems	19	1		331-346	Mar 2016	2016							Urbanization has been identified as a threat to biodiversity due to landscape modifications. Studies of parasite ecology in urbanized areas lagged behind those made on macro organisms. Here we studied infection prevalence of haemosporidian parasites in an avian community of an urban forest from Germany, and its relationship with bird abundance and body mass. We used PCR to amplify a fragment of the mtDNA cyt b gene to determine the infection status of birds, and bird point counts to determine bird relative abundances. The avifauna was dominated by two small sized insectivore passerines (Parus major, Cyanistes caeruleus), representing [approximately]40 % of the total bird records. The highest haemosporidian prevalence was recorded for Turdus philomelos (100 %) and for Fringilla coelebs (75 %). Bird abundance and body mass were positively associated with infection status for two haemosporidian genera: Plasmodium and Leucocytozoon. Infection rate was lower in juveniles compared to adult birds. We recorded a total of 7 Plasmodium, 26 Haemoproteus, and 10 Leucocytozoon lineages. Avian malaria (P. relictum) was detected infecting 5 individuals of P. major, the most abundant species in the community. These results, together with those of previous studies at the same site, suggest that potentially any of the genetic haemosporidian lineages detected in this urban forest can be transmitted across native and pet bird species, and to species of conservation concern housed at aviaries.			MacGregor-Fors, Ian/P-1455-2014; Santiago-Alarcon, Diego/G-2485-2018; Segelbacher, Gernot/F-3633-2011	MacGregor-Fors, Ian/0000-0003-3198-7322; Santiago-Alarcon, Diego/0000-0002-4914-5580; Segelbacher, Gernot/0000-0002-8024-7008				1083-8155								ZOOREC:ZOOR15208049190					
J	ZOOR15206036235		Changes in abundances of forest understorey birds on Africa's highest mountain suggest subtle effects of climate change.		Dulle, Hamadi I.; Ferger, Stefan W.; Cordeiro, Norbert J.; Howell, Kim M.; Schleuning, Matthias; Boehning-Gaese, Katrin; Hof, Christian				Diversity and Distributions	22	3		288-299	Mar 2016	2016							Aim Understanding how species respond to climate and land use change is of prime importance for biodiversity conservation. However, studies using historical, empirical data to understand species responses to climate change and anthropogenic habitat disturbance remain scarce, especially for tropical mountain ecosystems. Here, we compare historical to recent mist net data to study changes in abundance of forest understorey birds along two elevational gradients. Location Mount Kilimanjaro, Tanzania. Methods We investigate patterns of understorey bird abundance along elevational and disturbance gradients on two slopes of Mt. Kilimanjaro between 1991 and 2011. To understand species responses to climate change and disturbance, we use a trait-based approach. Specifically, we test whether and how species' traits (temperature, habitat and dietary preferences) affect species responses to environmental change. Results We found that over the 20-year time interval, mean minimum temperature increased across all sites along the elevational gradient, while levels of habitat disturbance remained similar. Mean abundance of understorey bird species increased significantly, especially at higher elevations and on the southern slope. Temporal increases were not related to species' temperature preferences and were detected for habitat generalists as well as herbivorous and omnivorous species, but not for forest specialists and insectivores. Main conclusions Our results suggest subtle effects of climate change on bird abundances which would not have been detectable if we had examined elevational range shifts or changes in species richness. Both warm-and cold-adapted species appear to have benefited from increases in minimum temperatures at high elevations. This was not the case for forest specialists and insectivores which remained stable between sampling periods. This demonstrates that different groups of birds vary in their response to ongoing climatic changes. Our results underline the importance of tropical mountain ecosystems not only as global biodiversity hotspots, but also as safe havens for biodiversity in the face of global climate change.			Bohning-Gaese, Katrin/W-2601-2019; Hof, Christian/J-8888-2014; Schleuning, Matthias/H-2154-2015	Bohning-Gaese, Katrin/0000-0003-0477-5586; Hof, Christian/0000-0002-7763-1885; Schleuning, Matthias/0000-0001-9426-045X				1366-9516								ZOOREC:ZOOR15206036235					
J	ZOOR15206038635		Maintaining animal assemblages through single-species management: the case of threatened caribou in boreal forest.		Bichet, Orphe; Dupuch, Angelique; Hebert, Christian; Le Borgne, Helene; Fortin, Daniel				Ecological Applications	26	2		612-623	Mar 2016	2016							With the intensification of human activities, preserving animal populations is a contemporary challenge of critical importance. In this context, the umbrella species concept is appealing because preserving a single species should result in the protection of multiple co-occurring species. Practitioners, though, face the task of having to find suitable umbrellas to develop single-species management guidelines. In North America, boreal forests must be managed to facilitate the recovery of the threatened boreal caribou (Rangifer tarandus). Yet, the effect of caribou conservation on co-occurring animal species remains poorly documented. We tested if boreal caribou can constitute an effective umbrella for boreal fauna. Birds, small mammals, and insects were sampled along gradients of post-harvest and post-fire forest succession. Predictive models of occupancy were developed from the responses of 95 species to characteristics of forest stands and their surroundings. We then assessed the similarity of species occupancy expected between simulated harvested landscapes and a 90 000-km2 uncut landscape. Managed landscapes were simulated based on three levels of disturbance, two timber-harvest rotation cycles, and dispersed or aggregated cut-blocks. We found that management guidelines that were more likely to maintain caribou populations should also better preserve animal assemblages. Relative to fragmentation or harvest cycle, we detected a stronger effect of habitat loss on species assemblages. Disturbing 22%, 35%, and 45% of the landscape should result, respectively, in 80%, 60%, and 40% probability for caribou populations to be sustainable; in turn, this should result in regional species assemblages with Jaccard similarity indices of 0.86, 0.79, and 0.74, respectively, relative to the uncut landscape. Our study thus demonstrates the value of single-species management for animal conservation. Our quantitative approach allows for the evaluation of management guidelines prior to implementation, thereby providing a tool for establishing suitable compromises between economic and environmental sustainability of human activities.			Bichet, Orphe M./J-8142-2019	Bichet, Orphe M./0000-0002-2098-6423				1051-0761								ZOOREC:ZOOR15206038635	27209799				
J	ZOOR15204027272		Geotechnology-Based Modeling to Optimize Conservation of Forest Network in Urban Area.		Teng, Mingjun; Zhou, Zhixiang; Wang, Pengcheng; Xiao, Wenfa; Wu, Changguang; Lord, Elizabeth				Environmental Management	57	3		601-619	Mar 2016	2016							Forest network development in urban areas faces the challenge from forest fragmentation, human-induced disturbances, and scarce land resources. Here, we proposed a geotechnology-based modeling to optimize conservation of forest network by a case study of Wuhan, China. The potential forest network and their priorities were assessed using an improved least-cost path model and potential utilization efficiency estimation. The modeling process consists of four steps: (i) developing species assemblages, (ii) identifying core forest patches, (iii) identifying potential linkages among core forest patches, and (iv) demarcating forest networks. As a result, three species assemblages, including mammals, pheasants, and other birds, were identified as the conservation targets of urban forest network (UFN) in Wuhan, China. Based on the geotechnology-based model, a forest network proposal was proposed to fulfill the connectivity requirements of selected species assemblages. The proposal consists of seven forest networks at three levels of connectivity, named ideal networks, backbone networks, and comprehensive network. The action priorities of UFN plans were suggested to optimize forest network in the study area. Additionally, a total of 45 forest patches with important conservation significance were identified as prioritized stepping-stone patches in the forest network development. Urban forest conserve was also suggested for preserving woodlands with priority conservation significance. The presented geotechnology-based modeling is fit for planning and optimizing UFNs, because of the inclusion of the stepping-stone effects, human-induced pressures, and priorities. The framework can also be applied to other areas after a sensitivity test of the model and the modification of the parameters to fit the local environment.				TENG, Mingjun/0000-0001-9764-2373				0364-152X								ZOOREC:ZOOR15204027272	26661451				
J	ZOOR15204026999		The avifauna of Bosque Fray Jorge National Park and Chile's Norte Chico.		Kelt, Douglas A.; Cofre, Hernan; Cornelius, Cintia; Engilis, Andrew, Jr; Gutierrez, Julio R.; Marquet, Pablo A.; Medel, Rodrigo; Meserve, Peter L.; Quirici, Veronica; Samaniego, Horacio; Vasquez, Rodrigo A.				Journal of Arid Environments	126			23-36	Mar 2016	2016							The avifauna of Chile is relatively depauperate, comprising 469 extant species, of which 213 are terrestrial. However, the Coquimbo Region presents a broad ecological transition from the hyperarid Atacama Desert to the north, and the more mesic Chilean Mediterranean region of central Chile, resulting in relatively high species diversity. Approximately 130 species are found here, 8 of which are endemic to Chile although not to this region. Bosque Fray Jorge National Park is a 9959 ha Biosphere Reserve dominated by matorral habitat and hosting up to 123 bird species. Through avian surveys and banding over nearly a decade we have documented 63 terrestrial species and discerned predictable seasonal and interannual structure to avian assemblages, at least through an extended dry period. Recent studies in the matorral habitats of the park indicate seasonal patterns that fall into 4 patterns: year-round residents, winter visitors, summer breeders, and transients. Short-term banding studies demonstrate cooccurring wintering and breeding cohorts among species of Sierra-finches (Phrygilus) in the park; such assemblages and dynamics are reminiscent of North American Mediterranean avian assemblages and pose interesting ecological comparisons. In this period of surveys there appears to have been a gradual transition of the avifauna that may be a response to anthropogenic influence and/or climate change. Research on the foraging behavior of 2 insectivorous species indicate that one of these is convergent on better-known North American taxa while the other clearly is not; these efforts suggest useful avenues for further comparative research. A remarkable coevolutionary association between the Chilean Mockingbird (Mimus thence) and endoparasitic mistletoes (Tristerix) provides insight into potential convergent ecologies in desert regions with different evolutionary histories. Less than 1% of the park comprises temperate forest remnants that subsist due to extensive water input from fog. Research in these remnants has emphasized the role of habitat fragmentation on avian assemblage composition and on reproductive ecology by forest-dependent species. The avifauna here comprises a subset of that found in intact Valdivian rainforest to the south, and forest remnant size alone explains over 90% of the variation in species numbers. One species has been particularly well studied; the Thorn-tailed Rayadito (Aphrastura spinicauda) is more abundant and has higher nestling survival in larger fragments. We summarize other work on stress responses and variation in song structure in this species. Finally, the role of birds in tree recruitment here has important implications in the face of a recent history of reduction in sizes of forest remnants; numerous birds consume the fruit of the dominant tree, olivillo (Aextoxicon punctatum), but they fail to promote successful recruitment because they defecate viable seeds in locations that provide poor survival of seedlings. Ornithological research in Chile is undergoing a modest renaissance, and while dryland avifaunas are characterized more by what is not known and has yet to be studied than by actual ecological understanding, they provide a baseline for many exciting studies ranging from natural history to the role of migration to comparative dynamics of independent lineages in North and South America. (C) 2015 Elsevier Ltd. All rights reserved.			Marquet, Pablo A/B-7732-2009; Samaniego, Horacio/O-8820-2015; Quirici, Veronica/B-1520-2017	Marquet, Pablo A/0000-0001-6369-9339; Samaniego, Horacio/0000-0002-2485-9827; Quirici, Veronica/0000-0003-2302-0971; Cornelius, Cintia/0000-0002-6690-7655; , hernan/0000-0003-2789-334X; Medel, Rodrigo/0000-0001-9955-764X				0140-1963								ZOOREC:ZOOR15204026999					
